length_nt,n_codons,gc_content,gc3,csc_mean,dg_mean_sl,dg_std_sl,dg_mean_turner,mfe_mean,mfe_per_nt,gene,variant
5592,1864,0.41219599427753933,0.35890557939914164,-0.0154656652360515,-1.3000679542203148,0.2935056852928888,-1.978765200286123,-22.36413043478261,-0.18636775362318841,brca1,native
5589,1863,0.28073000536768655,0.02147074610842727,-0.06643531937734837,-1.1661943102522814,0.25929889953880186,-1.6868026480586868,-9.41130438187848,-0.078427536515654,brca1,at_rich
5589,1863,0.6484165324745035,1.0,0.0567434245840043,-1.5754499910538555,0.29867285420096995,-2.4554589371980677,-35.75326084054035,-0.2979438403378362,brca1,gc_rich
4443,1481,0.4152599594868332,0.4226873733963538,-0.011265361242403783,-1.3054557731262662,0.3026390793459798,-1.979871708305199,-23.904109562913032,-0.19920091302427526,cftr,native
4440,1480,0.2572072072072072,0.04054054054054054,-0.07411216216216217,-1.1347252252252253,0.2787670993320308,-1.6436204954954958,-9.510136952138927,-0.07925114126782438,cftr,at_rich
4440,1480,0.6358108108108108,1.0,0.05843243243243242,-1.5609966216216218,0.31299773512885637,-2.4299695945945943,-38.99315044977894,-0.3249429204148245,cftr,gc_rich
444,148,0.5608108108108109,0.6554054054054054,0.021513513513513514,-1.4621171171171172,0.2875071871796899,-2.31893018018018,-38.61666615804037,-0.32180555131700306,hbb,native
441,147,0.3129251700680272,0.027210884353741496,-0.07013605442176869,-1.1963492063492065,0.292848905119225,-1.77,-13.31666644414266,-0.1109722203678555,hbb,at_rich
441,147,0.6848072562358276,1.0,0.05631292517006803,-1.6134920634920633,0.2953614267063176,-2.535918367346939,-45.20000012715658,-0.3766666677263048,hbb,gc_rich
1461,487,0.5989048596851472,0.6796714579055442,0.02083778234086242,-1.5033607118412045,0.3184869139808461,-2.357162902121834,-33.721739229948625,-0.2810144935829052,mecp2,native
1458,486,0.34910836762688613,0.01646090534979424,-0.05935390946502058,-1.2384739368998627,0.26585089923464583,-1.8269444444444447,-5.7434783163278,-0.047862319302731667,mecp2,at_rich
1458,486,0.7160493827160493,1.0,0.05709259259259259,-1.6531172839506172,0.3152974045606215,-2.583100137174211,-40.13913046795389,-0.33449275389961575,mecp2,gc_rich
1359,453,0.47167034584253126,0.5275938189845475,0.0056467991169977935,-1.3695364238410594,0.3082717950009338,-2.1032413539367183,-25.4857143674578,-0.21238095306214833,pah,native
1356,452,0.2640117994100295,0.01327433628318584,-0.07171017699115044,-1.1401106194690265,0.28175399242443555,-1.6625110619469026,-9.742857115609306,-0.08119047596341088,pah,at_rich
1356,452,0.6474926253687315,1.0,0.0600353982300885,-1.570324483775811,0.3183809257545441,-2.4449262536873153,-33.88571394057501,-0.28238094950479176,pah,gc_rich
3561,1187,0.42628475147430495,0.35299073294018535,-0.014614995787700083,-1.316543105869138,0.2968313403324388,-2.002570907048582,-23.453448394249225,-0.1954454032854102,palb2,native
3558,1186,0.290893760539629,0.022765598650927487,-0.06745868465430017,-1.1771486790331647,0.26900068453891235,-1.7102684092186622,-9.041379274993107,-0.07534482729160923,palb2,at_rich
3558,1186,0.664699269252389,1.0,0.057341483979763914,-1.5906534569983137,0.2980445242308072,-2.4937858347386173,-36.32241387202822,-0.3026867822669018,palb2,gc_rich
1212,404,0.3844884488448845,0.3564356435643564,-0.018759900990099013,-1.2723679867986797,0.3003504606941386,-1.9171328382838284,-19.836841884412262,-0.1653070157034355,pten,native
1209,403,0.2547559966914806,0.02729528535980149,-0.0677741935483871,-1.1320099255583127,0.2672994186735856,-1.6384739454094293,-11.947368370859246,-0.09956140309049372,pten,at_rich
1209,403,0.6178660049627791,1.0,0.059382133995037216,-1.5361662531017368,0.31238391469430804,-2.3850330851943755,-31.1684210425929,-0.2597368420216075,pten,gc_rich
5997,1999,0.4208771052192763,0.4452226113056528,-0.007038019009504752,-1.314578956144739,0.3046168867630752,-1.9916983491745872,-23.92653062392254,-0.1993877551993545,scn1a,native
5994,1998,0.2577577577577578,0.04854854854854855,-0.07166466466466466,-1.13683016349683,0.27700081221488804,-1.6467058725392059,-11.877244865407748,-0.09897704054506457,scn1a,at_rich
5994,1998,0.6236236236236237,1.0,0.0585990990990991,-1.5475825825825824,0.3133205734047089,-2.3992676009342673,-36.03877556080721,-0.3003231296733934,scn1a,gc_rich
1182,394,0.5685279187817259,0.6243654822335025,0.01839340101522843,-1.469864636209814,0.3101176409361317,-2.304310490693739,-33.46666664547391,-0.27888888871228257,tp53,native
1179,393,0.33502968617472434,0.04071246819338423,-0.06025954198473283,-1.2188295165394403,0.27878437001422385,-1.8129516539440205,-9.9822222855356,-0.08318518571279668,tp53,at_rich
1179,393,0.7039864291772688,1.0,0.0577557251908397,-1.6355894826123836,0.30606571457225973,-2.5706700593723495,-37.683333502875435,-0.31402777919062863,tp53,gc_rich
